id,week,num_weeks,censor,coupon,anyp
452,15,24,0,0.0070619229,43.31
452,16,24,0,0.0020475053,41.46
452,17,24,0,0.0003617828,41.95
452,18,24,0,0.0000268709,44.47
452,19,24,0,0.00000035264646,22.9
452,20,24,0,6.07371E-11,8.82
452,21,24,0,3.103112E-22,0
452,22,24,0,0,0
452,23,24,0,0,32.2
452,24,24,1,0,33.4
453,1,24,0,0,55.61
453,2,24,0,0,55.82
453,3,24,0,0.0180370411,55.65
453,4,24,0,0.1262592877,81.17
453,5,24,0,0.078697419,74.45
453,6,24,0,0.044160582,73.82
453,7,24,0,0.0214475487,46.83
453,8,24,0,0.0084743074,0
453,9,24,0,0.0024570064,72.41
453,10,24,0,0.015465007,71.52
453,11,24,0,0.1052483182,89.32
453,12,24,0,0.0655816056,56.05
453,13,24,0,0.0368004851,12.58
453,14,24,0,0.0178729572,13.33
453,15,24,0,0.0070619229,43.31
453,16,24,0,0.0020475053,41.46
453,17,24,0,0.0003617828,41.95
453,18,24,0,0.0000268709,44.47
453,19,24,0,0.00000035264646,22.9
453,20,24,0,6.07371E-11,8.82
453,21,24,0,3.103112E-22,0
453,22,24,0,0,0
453,23,24,0,0,32.2
453,24,24,1,0,33.4
454,1,24,0,0,55.61
454,2,24,0,0,55.82
454,3,24,0,0.0180370411,55.65
454,4,24,0,0.1262592877,81.17
454,5,24,0,0.078697419,74.45
454,6,24,0,0.044160582,73.82
454,7,24,0,0.0214475487,46.83
454,8,24,0,0.0084743074,0
454,9,24,0,0.0024570064,72.41
454,10,24,0,0.015465007,71.52
454,11,24,0,0.1052483182,89.32
454,12,24,0,0.0655816056,56.05
454,13,24,0,0.0368004851,12.58
454,14,24,0,0.0178729572,13.33
454,15,24,0,0.0070619229,43.31
454,16,24,0,0.0020475053,41.46
454,17,24,0,0.0003617828,41.95
454,18,24,0,0.0000268709,44.47
454,19,24,0,0.00000035264646,22.9
454,20,24,0,6.07371E-11,8.82
454,21,24,0,3.103112E-22,0
454,22,24,0,0,0
454,23,24,0,0,32.2
454,24,24,1,0,33.4
455,1,24,0,0,55.61
455,2,24,0,0,55.82
455,3,24,0,0.0180370411,55.65
455,4,24,0,0.1262592877,81.17
455,5,24,0,0.078697419,74.45
455,6,24,0,0.044160582,73.82
455,7,24,0,0.0214475487,46.83
455,8,24,0,0.0084743074,0
455,9,24,0,0.0024570064,72.41
455,10,24,0,0.015465007,71.52
455,11,24,0,0.1052483182,89.32
455,12,24,0,0.0655816056,56.05
455,13,24,0,0.0368004851,12.58
455,14,24,0,0.0178729572,13.33
455,15,24,0,0.0070619229,43.31
455,16,24,0,0.0020475053,41.46
455,17,24,0,0.0003617828,41.95
455,18,24,0,0.0000268709,44.47
455,19,24,0,0.00000035264646,22.9
455,20,24,0,6.07371E-11,8.82
455,21,24,0,3.103112E-22,0
455,22,24,0,0,0
455,23,24,0,0,32.2
455,24,24,1,0,33.4
456,1,24,0,0,55.61
456,2,24,0,0,55.82
456,3,24,0,0.0180370411,55.65
456,4,24,0,0.1262592877,81.17
456,5,24,0,0.078697419,74.45
456,6,24,0,0.044160582,73.82
456,7,24,0,0.0214475487,46.83
456,8,24,0,0.0084743074,0
456,9,24,0,0.0024570064,72.41
456,10,24,0,0.015465007,71.52
456,11,24,0,0.1052483182,89.32
456,12,24,0,0.0655816056,56.05
456,13,24,0,0.0368004851,12.58
456,14,24,0,0.0178729572,13.33
456,15,24,0,0.0070619229,43.31
456,16,24,0,0.0020475053,41.46
456,17,24,0,0.0003617828,41.95
456,18,24,0,0.0000268709,44.47
456,19,24,0,0.00000035264646,22.9
456,20,24,0,6.07371E-11,8.82
456,21,24,0,3.103112E-22,0
456,22,24,0,0,0
456,23,24,0,0,32.2
456,24,24,1,0,33.4
457,1,24,0,0,55.61
457,2,24,0,0,55.82
457,3,24,0,0.0180370411,55.65
457,4,24,0,0.1262592877,81.17
457,5,24,0,0.078697419,74.45
457,6,24,0,0.044160582,73.82
457,7,24,0,0.0214475487,46.83
457,8,24,0,0.0084743074,0
457,9,24,0,0.0024570064,72.41
457,10,24,0,0.015465007,71.52
457,11,24,0,0.1052483182,89.32
457,12,24,0,0.0655816056,56.05
457,13,24,0,0.0368004851,12.58
457,14,24,0,0.0178729572,13.33
457,15,24,0,0.0070619229,43.31
457,16,24,0,0.0020475053,41.46
457,17,24,0,0.0003617828,41.95
457,18,24,0,0.0000268709,44.47
457,19,24,0,0.00000035264646,22.9
457,20,24,0,6.07371E-11,8.82
457,21,24,0,3.103112E-22,0
457,22,24,0,0,0
457,23,24,0,0,32.2
457,24,24,1,0,33.4
458,1,24,0,0,55.61
458,2,24,0,0,55.82
